data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.2529,False,False,False,False
medqa_5_options,f1(macro),0.198,False,False,False,False
medqa_4_options,acc,0.2702,False,False,False,False
medqa_4_options,f1(macro),0.1902,False,False,False,False
kormedmcqa_dentist,acc,0.143,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1418,False,False,False,False
kormedmcqa_doctor,acc,0.1494,False,False,False,False
kormedmcqa_doctor,f1(macro),0.1529,False,False,False,False
kormedmcqa_nurse,acc,0.2437,False,False,False,False
kormedmcqa_nurse,f1(macro),0.252,False,False,False,False
kormedmcqa_pharm,acc,0.1684,False,False,False,False
kormedmcqa_pharm,f1(macro),0.1629,False,False,False,False
medqa_5_options,acc,0.2529,False,True,False,False
medqa_5_options,f1(macro),0.198,False,True,False,False
medqa_4_options,acc,0.2702,False,True,False,False
medqa_4_options,f1(macro),0.1902,False,True,False,False
kormedmcqa_dentist,acc,0.143,False,True,False,False
kormedmcqa_dentist,f1(macro),0.1418,False,True,False,False
kormedmcqa_doctor,acc,0.1494,False,True,False,False
kormedmcqa_doctor,f1(macro),0.1529,False,True,False,False
kormedmcqa_nurse,acc,0.2437,False,True,False,False
kormedmcqa_nurse,f1(macro),0.252,False,True,False,False
kormedmcqa_pharm,acc,0.1684,False,True,False,False
kormedmcqa_pharm,f1(macro),0.1629,False,True,False,False
