data,metric,score,option_finetuning,option_BitsAndBytes,option_CoT,option_LoRA(r=32 a=64)
medqa_5_options,acc,0.2341,False,False,False,False
medqa_5_options,f1(macro),0.159,False,False,False,False
medqa_4_options,acc,0.2969,False,False,False,False
medqa_4_options,f1(macro),0.1774,False,False,False,False
kormedmcqa_dentist,acc,0.2293,False,False,False,False
kormedmcqa_dentist,f1(macro),0.1766,False,False,False,False
kormedmcqa_doctor,acc,0.2046,False,False,False,False
kormedmcqa_doctor,f1(macro),0.1534,False,False,False,False
kormedmcqa_nurse,acc,0.303,False,False,False,False
kormedmcqa_nurse,f1(macro),0.2441,False,False,False,False
kormedmcqa_pharm,acc,0.2497,False,False,False,False
kormedmcqa_pharm,f1(macro),0.1916,False,False,False,False
medqa_5_options,acc,0.1595,0,1,0,0
medqa_5_options,f1(macro),0.17,0,1,0,0
medqa_4_options,acc,0.1532,0,1,0,0
medqa_4_options,f1(macro),0.1478,0,1,0,0
kormedmcqa_dentist,acc,0.1097,0,1,0,0
kormedmcqa_dentist,f1(macro),0.0966,0,1,0,0
kormedmcqa_doctor,acc,0.0529,0,1,0,0
kormedmcqa_doctor,f1(macro),0.0607,0,1,0,0
kormedmcqa_nurse,acc,0.0968,0,1,0,0
kormedmcqa_nurse,f1(macro),0.114,0,1,0,0
kormedmcqa_pharm,acc,0.1017,0,1,0,0
kormedmcqa_pharm,f1(macro),0.1183,0,1,0,0
